="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)"
="ENVI:";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT"
="log ECSP";="";="";="";="";="";=""
="1._at";="-0.0422***";="-0.0399***";="-0.0195";="-0.0377**";="-0.0392***";="-0.0247**"
="";="(0.0128)";="(0.0131)";="(0.0128)";="(0.0153)";="(0.0135)";="(0.0118)"
="2._at";="-0.0409***";="-0.0388***";="-0.0182";="-0.0358**";="-0.0373***";="-0.0219*"
="";="(0.0126)";="(0.0129)";="(0.0125)";="(0.0146)";="(0.0131)";="(0.0113)"
="3._at";="-0.0322***";="-0.0311***";="-0.00931";="-0.0329**";="-0.0333***";="-0.0167"
="";="(0.0114)";="(0.0115)";="(0.0107)";="(0.0135)";="(0.0122)";="(0.0106)"
="4._at";="-0.0267**";="-0.0263**";="-0.00368";="-0.0299**";="-0.0296**";="-0.0119"
="";="(0.0112)";="(0.0112)";="(0.0102)";="(0.0126)";="(0.0117)";="(0.0100)"
="5._at";="-0.0236**";="-0.0235**";="-0.000517";="-0.0283**";="-0.0280**";="-0.00959"
="";="(0.0113)";="(0.0113)";="(0.0101)";="(0.0122)";="(0.0115)";="(0.00986)"
="6._at";="-0.0211*";="-0.0214*";="0.00200";="-0.0269**";="-0.0256**";="-0.00684"
="";="(0.0115)";="(0.0115)";="(0.0102)";="(0.0118)";="(0.0113)";="(0.00973)"
="7._at";="-0.0192*";="-0.0197*";="0.00394";="-0.0249**";="-0.0233**";="-0.00306"
="";="(0.0117)";="(0.0117)";="(0.0103)";="(0.0115)";="(0.0112)";="(0.00967)"
="8._at";="-0.0171";="-0.0178";="0.00615";="-0.0215*";="-0.0160";="0.00722"
="";="(0.0120)";="(0.0120)";="(0.0106)";="(0.0110)";="(0.0115)";="(0.0103)"
="9._at";="-0.0146";="-0.0156";="0.00871";="-0.0168";="-0.0138";="0.0101"
="";="(0.0124)";="(0.0124)";="(0.0109)";="(0.0110)";="(0.0118)";="(0.0106)"
="10._at";="-0.0129";="-0.0141";="0.0104";="-0.0151";="-0.0121";="0.0122"
="";="(0.0127)";="(0.0127)";="(0.0112)";="(0.0111)";="(0.0120)";="(0.0109)"
