="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)"
="Intensity Definition: Total Cost, Environmental Index:";="-";="-";="EPI";="EPI";="EPI";="EPI"
="log ECSP";="";="-0.0257**";="-0.0469**";="-0.0499**";="-0.0409**";=""
="";="";="(0.0115)";="(0.0215)";="(0.0201)";="(0.0175)";=""
="log ECSP X ENVI";="";="";="0.0406";="0.0481*";="0.0683***";="0.0858***"
="";="";="";="(0.0271)";="(0.0272)";="(0.0251)";="(0.0238)"
="log R&D Intensity";="0.0206***";="0.0204***";="0.0207***";="0.0216***";="0.00949***";=""
="";="(0.00404)";="(0.00401)";="(0.00401)";="(0.00403)";="(0.00327)";=""
="log Skill Intensity";="0.00641";="0.0110";="0.0102";="-0.0300";="-0.0181";=""
="";="(0.0143)";="(0.0137)";="(0.0137)";="(0.0340)";="(0.0322)";=""
="log Other Machinery Intensity";="0.0311***";="0.0417***";="0.0417***";="-0.0194";="0.0372";=""
="";="(0.0104)";="(0.0105)";="(0.0105)";="(0.0493)";="(0.0506)";=""
="log Building Intensity";="-0.00994*";="-0.00868";="-0.00854";="-0.0238";="-0.0285";=""
="";="(0.00584)";="(0.00593)";="(0.00595)";="(0.0370)";="(0.0354)";=""
="log Auto Intensity";="-0.0243***";="-0.0226***";="-0.0225***";="-0.00750";="-0.0310";=""
="";="(0.00491)";="(0.00474)";="(0.00476)";="(0.0245)";="(0.0270)";=""
="log Computer Intensity";="-0.00725";="-0.0111";="-0.0113";="0.0110";="-0.00353";=""
="";="(0.00764)";="(0.00762)";="(0.00763)";="(0.0405)";="(0.0420)";=""
="Contractibility";="-0.0708***";="-0.0559***";="-0.0571***";="-0.0326";="-0.0327";=""
="";="(0.0198)";="(0.0189)";="(0.0189)";="(0.0293)";="(0.0308)";=""
="log Skill Intensity X log Skill Abundance";="";="";="";="0.0186";="0.0121";="0.0151"
="";="";="";="";="(0.0126)";="(0.0126)";="(0.0116)"
="log Other Machinery Intensity X log Capital Abundance";="";="";="";="0.00532";="-0.000794";="-0.00144"
="";="";="";="";="(0.00407)";="(0.00422)";="(0.00448)"
="log Building Intensity X log Capital Abundance";="";="";="";="0.00126";="0.00214";="0.00255"
="";="";="";="";="(0.00314)";="(0.00298)";="(0.00292)"
="log Auto Intensity X log Capital Abundance";="";="";="";="-0.00135";="0.00159";="0.00137"
="";="";="";="";="(0.00213)";="(0.00232)";="(0.00223)"
="log Computer Intensity X log Capital Abundance";="";="";="";="-0.00158";="-0.000780";="-0.00116"
="";="";="";="";="(0.00330)";="(0.00346)";="(0.00314)"
="Contractibility X Rule of Law";="";="";="";="-0.0454";="-0.0434";="-0.0495"
="";="";="";="";="(0.0448)";="(0.0450)";="(0.0459)"
="Dispersion";="";="";="";="";="0.0635***";=""
="";="";="";="";="";="(0.0209)";=""
="1(sigma>median)=0 X DUse_TUse";="";="";="";="";="-0.125***";=""
="";="";="";="";="";="(0.0320)";=""
="1(sigma>median)=1 X DUse_TUse";="";="";="";="";="-0.0852***";=""
="";="";="";="";="";="(0.0301)";=""
="1(sigma>median)=1";="";="";="";="";="-0.0343";=""
="";="";="";="";="";="(0.0263)";=""
="External Finance Dependence";="";="";="";="";="-0.00399";=""
="";="";="";="";="";="(0.0150)";=""
="Asset Tangibility";="";="";="";="";="-0.221**";=""
="";="";="";="";="";="(0.0953)";=""
="External Finance Dependence X Private Credit / GDP";="";="";="";="";="0.000181**";="0.000210***"
="";="";="";="";="";="(0.0000779)";="(0.0000794)"
="Asset Tangibility X Private Credit / GDP";="";="";="";="";="0.000350";="0.000571"
="";="";="";="";="";="(0.000511)";="(0.000496)"
="Sales Volatility";="";="";="";="";="0.0903";=""
="";="";="";="";="";="(0.234)";=""
="Sales Volatility X Labor Market Flexibility";="";="";="";="";="-0.106";="-0.118"
="";="";="";="";="";="(0.271)";="(0.252)"
="Intermediation";="";="";="";="";="0.0690";=""
="";="";="";="";="";="(0.0781)";=""
="Intermediation X Rule of Law";="";="";="";="";="-0.446***";="-0.417***"
="";="";="";="";="";="(0.120)";="(0.121)"
="Constant";="0.241***";="0.128*";="0.129*";="0.173**";="0.307***";="0.872***"
="";="(0.0497)";="(0.0747)";="(0.0754)";="(0.0734)";="(0.0965)";="(0.301)"
="Country-Year FE";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes"
="Industry-Year FE";="No";="No";="No";="No";="No";="Yes"
="IO2007 Industry Clusters";="214";="212";="212";="212";="209";="210"
="Adj. R2";="0.167";="0.169";="0.170";="0.173";="0.195";="0.236"
="Observations";="134511";="133985";="131736";="114578";="103394";="103421"
