="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)"
="Intensity Definition: Total Cost, Environmental Index:";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="EPI";="EPI";="EPI"
="log ECSP X ENVI";="0.993**";="0.852*";="1.200***";="";="";="";="";="";=""
="";="(0.416)";="(0.440)";="(0.435)";="";="";="";="";="";=""
="log ECSP X ENVI";="";="";="";="0.0403***";="0.0433***";="0.0596***";="";="";=""
="";="";="";="";="(0.0143)";="(0.0148)";="(0.0149)";="";="";=""
="log ECSP X ENVI";="";="";="";="";="";="";="0.0569**";="0.0683***";="0.0906***"
="";="";="";="";="";="";="";="(0.0223)";="(0.0234)";="(0.0232)"
="ENVI";="11.47***";="4.657*";="7.632***";="";="";="";="";="";=""
="";="(2.513)";="(2.649)";="(2.647)";="";="";="";="";="";=""
="ENVI";="";="";="";="";="";="";="0.803***";="0.937***";="0.957***"
="";="";="";="";="";="";="";="(0.138)";="(0.144)";="(0.142)"
="ENVI";="";="";="";="0.522***";="0.519***";="0.585***";="";="";=""
="";="";="";="";="(0.0883)";="(0.0904)";="(0.0905)";="";="";=""
="group(IO2007 year)=0";="0";="0";="0";="0";="0";="0";="0";="0";="0"
="";="(.)";="(.)";="(.)";="(.)";="(.)";="(.)";="(.)";="(.)";="(.)"
="log Skill Intensity X log Skill Abundance";="";="0.00623";="0.0144";="";="0.0120";="0.00914";="";="0.0120";="0.00910"
="";="";="(0.0212)";="(0.0213)";="";="(0.0111)";="(0.0114)";="";="(0.0111)";="(0.0114)"
="log Skill Abundance";="";="0.103*";="0.137**";="";="0.0168";="0.0192";="";="-0.0115";="-0.00127"
="";="";="(0.0589)";="(0.0603)";="";="(0.0304)";="(0.0313)";="";="(0.0305)";="(0.0314)"
="log Other Machinery Intensity X log Capital Abundance";="";="-0.00327";="-0.00696";="";="0.00325";="-0.00110";="";="0.00241";="-0.00180"
="";="";="(0.00765)";="(0.00760)";="";="(0.00388)";="(0.00436)";="";="(0.00400)";="(0.00442)"
="log Building Intensity X log Capital Abundance";="";="0.00437";="0.00497";="";="0.00157";="0.00212";="";="0.00172";="0.00232"
="";="";="(0.00526)";="(0.00506)";="";="(0.00303)";="(0.00292)";="";="(0.00302)";="(0.00292)"
="log Auto Intensity X log Capital Abundance";="";="0.00514";="0.00546";="";="-0.000148";="0.00170";="";="-0.0000228";="0.00182"
="";="";="(0.00410)";="(0.00375)";="";="(0.00202)";="(0.00212)";="";="(0.00205)";="(0.00213)"
="log Computer Intensity X log Capital Abundance";="";="-0.000357";="0.000291";="";="-0.00137";="-0.000884";="";="-0.0000594";="-0.000124"
="";="";="(0.00578)";="(0.00574)";="";="(0.00279)";="(0.00292)";="";="(0.00286)";="(0.00295)"
="log Capital Abundance";="";="0.0425";="0.0333";="";="-0.00308";="0.00469";="";="-0.000470";="0.00704"
="";="";="(0.0433)";="(0.0436)";="";="(0.0237)";="(0.0251)";="";="(0.0243)";="(0.0255)"
="Contractibility X Rule of Law";="";="0.0596";="0.0381";="";="-0.0459";="-0.0544";="";="-0.0461";="-0.0527"
="";="";="(0.0624)";="(0.0614)";="";="(0.0451)";="(0.0454)";="";="(0.0455)";="(0.0457)"
="Rule of Law";="";="0.354***";="0.389***";="";="0.143***";="0.258***";="";="0.0980***";="0.229***"
="";="";="(0.0354)";="(0.0755)";="";="(0.0184)";="(0.0539)";="";="(0.0199)";="(0.0542)"
="External Finance Dependence X Private Credit / GDP";="";="";="0.000187";="";="";="0.000204***";="";="";="0.000196**"
="";="";="";="(0.000122)";="";="";="(0.0000771)";="";="";="(0.0000770)"
="Asset Tangibility X Private Credit / GDP";="";="";="0.00144**";="";="";="0.000547";="";="";="0.000520"
="";="";="";="(0.000602)";="";="";="(0.000481)";="";="";="(0.000478)"
="Private Credit / GDP";="";="";="0.0000417";="";="";="0.000280*";="";="";="0.000295*"
="";="";="";="(0.000190)";="";="";="(0.000154)";="";="";="(0.000154)"
="Sales Volatility X Labor Market Flexibility";="";="";="-0.201";="";="";="-0.133";="";="";="-0.129"
="";="";="";="(0.373)";="";="";="(0.247)";="";="";="(0.252)"
="Labor Market Flexibility";="";="";="0.00798";="";="";="-0.0151";="";="";="-0.00596"
="";="";="";="(0.0741)";="";="";="(0.0453)";="";="";="(0.0461)"
="Intermediation X Rule of Law";="";="";="-0.309*";="";="";="-0.368***";="";="";="-0.367***"
="";="";="";="(0.164)";="";="";="(0.122)";="";="";="(0.122)"
="Constant";="0.226***";="-0.0300";="0.0145";="0.119***";="0.245***";="0.212***";="0.0291***";="0.251***";="0.194***"
="";="(0.00754)";="(0.0619)";="(0.0684)";="(0.00523)";="(0.0289)";="(0.0286)";="(0.00827)";="(0.0307)";="(0.0295)"
="IO2007 Industry Clusters";="221";="214";="210";="229";="217";="210";="229";="217";="210"
="Adj. R2";="0.169";="0.189";="0.197";="0.133";="0.146";="0.164";="0.137";="0.148";="0.163"
="Observations";="38093";="36735";="36093";="137611";="116315";="103421";="137870";="116315";="103421"
