="";="(1)";="(2)";="(3)"
="ENVI:";="EPI";="EPI";="EPI"
="log ECSP";="";="";=""
="1._at";="-0.0355**";="-0.0361**";="-0.0214*"
="";="(0.0153)";="(0.0142)";="(0.0122)"
="2._at";="-0.0343**";="-0.0348**";="-0.0196*"
="";="(0.0148)";="(0.0137)";="(0.0118)"
="3._at";="-0.0321**";="-0.0320**";="-0.0156"
="";="(0.0138)";="(0.0129)";="(0.0110)"
="4._at";="-0.0302**";="-0.0298**";="-0.0124"
="";="(0.0130)";="(0.0123)";="(0.0105)"
="5._at";="-0.0288**";="-0.0280**";="-0.00964"
="";="(0.0125)";="(0.0118)";="(0.0101)"
="6._at";="-0.0273**";="-0.0261**";="-0.00716"
="";="(0.0120)";="(0.0115)";="(0.00985)"
="7._at";="-0.0240**";="-0.0215*";="0.000179"
="";="(0.0112)";="(0.0110)";="(0.00961)"
="8._at";="-0.0205*";="-0.0180";="0.00507"
="";="(0.0107)";="(0.0110)";="(0.00986)"
="9._at";="-0.0186*";="-0.0160";="0.00811"
="";="(0.0107)";="(0.0112)";="(0.0102)"
="10._at";="-0.0166";="-0.0139";="0.0103"
="";="(0.0108)";="(0.0115)";="(0.0105)"
