="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)"
="Intensity Definition: Total Cost, Environmental Index:";="-";="-";="EPSI";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="HLT";="EPI";="EPI";="EPI";="EPI"
="log ECSP";="";="-0.0248**";="-0.0477***";="-0.0454***";="-0.0205";="";="-0.0410**";="-0.0448***";="-0.0282**";="";="-0.0465**";="-0.0510**";="-0.0378**";=""
="";="";="(0.0114)";="(0.0141)";="(0.0147)";="(0.0142)";="";="(0.0171)";="(0.0151)";="(0.0133)";="";="(0.0216)";="(0.0201)";="(0.0176)";=""
="log ECSP X ENVI";="";="";="1.040**";="0.941**";="1.063**";="1.229***";="";="";="";="";="";="";="";=""
="";="";="";="(0.426)";="(0.447)";="(0.441)";="(0.448)";="";="";="";="";="";="";="";=""
="log ECSP X ENVI";="";="";="";="";="";="";="0.0303*";="0.0377**";="0.0503***";="0.0602***";="";="";="";=""
="";="";="";="";="";="";="";="(0.0171)";="(0.0162)";="(0.0159)";="(0.0152)";="";="";="";=""
="log ECSP X ENVI";="";="";="";="";="";="";="";="";="";="";="0.0417";="0.0511*";="0.0703***";="0.0875***"
="";="";="";="";="";="";="";="";="";="";="";="(0.0274)";="(0.0268)";="(0.0252)";="(0.0237)"
="log R&D Intensity";="0.0242***";="0.0237***";="0.0293***";="0.0293***";="0.00934**";="";="0.0241***";="0.0251***";="0.00964***";="";="0.0240***";="0.0251***";="0.00964***";=""
="";="(0.00429)";="(0.00427)";="(0.00478)";="(0.00478)";="(0.00401)";="";="(0.00426)";="(0.00425)";="(0.00344)";="";="(0.00426)";="(0.00425)";="(0.00344)";=""
="log Skill Intensity";="-0.0179";="-0.0160";="-0.0175";="-0.0457";="-0.0370";="";="-0.0169";="-0.0423";="-0.0359";="";="-0.0168";="-0.0425";="-0.0365";=""
="";="(0.0129)";="(0.0123)";="(0.0145)";="(0.0476)";="(0.0475)";="";="(0.0123)";="(0.0290)";="(0.0285)";="";="(0.0123)";="(0.0292)";="(0.0285)";=""
