="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)"
="Intensity Definition: Payroll, Environmental Index:";="-";="-";="EPSI";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="HLT"
="log ECSP";="";="-0.0200*";="-0.0268**";="-0.0233*";="-0.00728";="";="-0.0204";="-0.0249*";="-0.0161";=""
="";="";="(0.0109)";="(0.0135)";="(0.0137)";="(0.0129)";="";="(0.0149)";="(0.0143)";="(0.0126)";=""
="log ECSP X ENVI";="";="";="0.241";="0.0910";="0.187";="0.228";="";="";="";=""
="";="";="";="(0.405)";="(0.422)";="(0.419)";="(0.444)";="";="";="";=""
="log ECSP X ENVI";="";="";="";="";="";="";="0.000929";="0.00998";="0.0224";="0.0293*"
="";="";="";="";="";="";="";="(0.0150)";="(0.0147)";="(0.0152)";="(0.0150)"
="log R&D Intensity";="0.0175***";="0.0174***";="0.0212***";="0.0212***";="0.00857**";="";="0.0178***";="0.0183***";="0.00857***";=""
="";="(0.00362)";="(0.00363)";="(0.00441)";="(0.00441)";="(0.00372)";="";="(0.00367)";="(0.00372)";="(0.00300)";=""
="log Skill Intensity";="0.0556**";="0.0547**";="0.0619*";="0.0595";="0.0433";="";="0.0526**";="0.0374";="0.0490";=""
="";="(0.0262)";="(0.0260)";="(0.0349)";="(0.113)";="(0.116)";="";="(0.0262)";="(0.0541)";="(0.0575)";=""
="log Other Machinery Intensity";="0.0444***";="0.0544***";="0.0709***";="0.152*";="0.150*";="";="0.0543***";="-0.00647";="0.0478";=""
="";="(0.00918)";="(0.00953)";="(0.0126)";="(0.0915)";="(0.0889)";="";="(0.00950)";="(0.0480)";="(0.0466)";=""
="log Building Intensity";="-0.0109*";="-0.00915";="-0.0130*";="-0.0872";="-0.0754";="";="-0.00901";="-0.0208";="-0.0242";=""
="";="(0.00590)";="(0.00620)";="(0.00736)";="(0.0691)";="(0.0670)";="";="(0.00624)";="(0.0377)";="(0.0363)";=""
="log Auto Intensity";="-0.0208***";="-0.0202***";="-0.0316***";="-0.0949*";="-0.101**";="";="-0.0201***";="-0.0199";="-0.0378";=""
="";="(0.00498)";="(0.00483)";="(0.00634)";="(0.0492)";="(0.0470)";="";="(0.00485)";="(0.0245)";="(0.0266)";=""
="log Computer Intensity";="-0.0112";="-0.0143*";="-0.00864";="-0.0318";="-0.0220";="";="-0.0143*";="-0.0448";="-0.0479";=""
="";="(0.00769)";="(0.00762)";="(0.0109)";="(0.0810)";="(0.0806)";="";="(0.00762)";="(0.0448)";="(0.0479)";=""
="Contractibility";="-0.0730***";="-0.0569***";="-0.0867***";="-0.115**";="-0.110**";="";="-0.0582***";="-0.0191";="-0.0218";=""
="";="(0.0189)";="(0.0182)";="(0.0224)";="(0.0447)";="(0.0453)";="";="(0.0182)";="(0.0297)";="(0.0314)";=""
="log Skill Intensity X log Skill Abundance";="";="";="";="0.00111";="-0.00605";="0.00444";="";="0.00961";="-0.00930";="-0.00137"
="";="";="";="";="(0.0476)";="(0.0471)";="(0.0474)";="";="(0.0249)";="(0.0253)";="(0.0237)"
="log Other Machinery Intensity X log Capital Abundance";="";="";="";="-0.00661";="-0.00915";="-0.00850";="";="0.00528";="-0.00139";="-0.00246"
="";="";="";="";="(0.00746)";="(0.00717)";="(0.00710)";="";="(0.00394)";="(0.00395)";="(0.00422)"
="log Building Intensity X log Capital Abundance";="";="";="";="0.00601";="0.00570";="0.00510";="";="0.000934";="0.00168";="0.00195"
="";="";="";="";="(0.00565)";="(0.00543)";="(0.00549)";="";="(0.00319)";="(0.00306)";="(0.00301)"
="log Auto Intensity X log Capital Abundance";="";="";="";="0.00513";="0.00651*";="0.00614";="";="-0.0000922";="0.00222";="0.00194"
="";="";="";="";="(0.00407)";="(0.00387)";="(0.00388)";="";="(0.00211)";="(0.00228)";="(0.00214)"
="log Computer Intensity X log Capital Abundance";="";="";="";="0.00187";="0.00118";="0.000436";="";="0.00285";="0.00284";="0.00172"
