="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)"
="ENVI:";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT"
="main";="";="";="";="";="";="";="";="";="";="";="";=""
="1._at";="-0.0410***";="-0.0390***";="-0.0196";="-0.0348**";="-0.0367***";="-0.0232**";="-0.0257**";="-0.0229*";="-0.00638";="-0.0203";="-0.0234*";="-0.0128"
="";="(0.0130)";="(0.0133)";="(0.0128)";="(0.0157)";="(0.0139)";="(0.0118)";="(0.0123)";="(0.0125)";="(0.0117)";="(0.0136)";="(0.0128)";="(0.0111)"
="2._at";="-0.0397***";="-0.0379***";="-0.0183";="-0.0332**";="-0.0350***";="-0.0206*";="-0.0254**";="-0.0227*";="-0.00615";="-0.0202";="-0.0229*";="-0.0116"
="";="(0.0127)";="(0.0130)";="(0.0124)";="(0.0150)";="(0.0135)";="(0.0114)";="(0.0121)";="(0.0122)";="(0.0114)";="(0.0130)";="(0.0124)";="(0.0106)"
="3._at";="-0.0312***";="-0.0303***";="-0.00943";="-0.0307**";="-0.0313**";="-0.0157";="-0.0233**";="-0.0220**";="-0.00455";="-0.0201*";="-0.0217*";="-0.00922"
="";="(0.0115)";="(0.0116)";="(0.0107)";="(0.0140)";="(0.0126)";="(0.0107)";="(0.0108)";="(0.0108)";="(0.00985)";="(0.0122)";="(0.0116)";="(0.00979)"
="4._at";="-0.0258**";="-0.0254**";="-0.00378";="-0.0281**";="-0.0281**";="-0.0112";="-0.0220**";="-0.0215**";="-0.00353";="-0.0200*";="-0.0208*";="-0.00706"
="";="(0.0113)";="(0.0113)";="(0.0102)";="(0.0131)";="(0.0121)";="(0.0102)";="(0.0105)";="(0.0105)";="(0.00948)";="(0.0115)";="(0.0110)";="(0.00921)"
="5._at";="-0.0228**";="-0.0227**";="-0.000610";="-0.0267**";="-0.0266**";="-0.00899";="-0.0213**";="-0.0212**";="-0.00296";="-0.0200*";="-0.0203*";="-0.00600"
="";="(0.0113)";="(0.0113)";="(0.0101)";="(0.0126)";="(0.0119)";="(0.0100)";="(0.0105)";="(0.0105)";="(0.00951)";="(0.0112)";="(0.0108)";="(0.00900)"
="6._at";="-0.0204*";="-0.0206*";="0.00191";="-0.0255**";="-0.0244**";="-0.00641";="-0.0207*";="-0.0210**";="-0.00251";="-0.0199*";="-0.0197*";="-0.00476"
="";="(0.0115)";="(0.0115)";="(0.0101)";="(0.0123)";="(0.0117)";="(0.00990)";="(0.0107)";="(0.0107)";="(0.00965)";="(0.0110)";="(0.0105)";="(0.00883)"
="7._at";="-0.0185";="-0.0189";="0.00387";="-0.0238**";="-0.0224*";="-0.00285";="-0.0202*";="-0.0208*";="-0.00216";="-0.0199*";="-0.0190*";="-0.00306"
="";="(0.0117)";="(0.0117)";="(0.0103)";="(0.0119)";="(0.0116)";="(0.00986)";="(0.0108)";="(0.0108)";="(0.00983)";="(0.0108)";="(0.0104)";="(0.00871)"
="8._at";="-0.0164";="-0.0170";="0.00608";="-0.0208*";="-0.0158";="0.00682";="-0.0197*";="-0.0206*";="-0.00176";="-0.0198*";="-0.0170";="0.00158"
="";="(0.0120)";="(0.0119)";="(0.0105)";="(0.0114)";="(0.0118)";="(0.0104)";="(0.0111)";="(0.0111)";="(0.0101)";="(0.0106)";="(0.0104)";="(0.00917)"
="9._at";="-0.0140";="-0.0148";="0.00865";="-0.0168";="-0.0137";="0.00953";="-0.0191*";="-0.0204*";="-0.00130";="-0.0196*";="-0.0164";="0.00288"
="";="(0.0124)";="(0.0123)";="(0.0108)";="(0.0113)";="(0.0121)";="(0.0108)";="(0.0114)";="(0.0115)";="(0.0105)";="(0.0107)";="(0.0106)";="(0.00948)"
="10._at";="-0.0123";="-0.0133";="0.0103";="-0.0153";="-0.0122";="0.0115";="-0.0188";="-0.0202*";="-0.000999";="-0.0196*";="-0.0160";="0.00382"
="";="(0.0127)";="(0.0127)";="(0.0111)";="(0.0114)";="(0.0123)";="(0.0111)";="(0.0117)";="(0.0118)";="(0.0108)";="(0.0109)";="(0.0108)";="(0.00976)"
