="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)"
="Intensity Definition: Total Cost, Pollutant, Environmental Index:";="PT,-";="PT,EPSI";="PT,HLT";="PT,EPI";="SO2,-";="SO2,EPSI";="SO2,HLT";="SO2,EPI";="NO2,-";="NO2,EPSI";="NO2,HLT";="NO2,EPI"
="log Pollutant";="-0.00576*";="-0.0127**";="-0.0153***";="-0.0177***";="";="";="";="";="";="";="";=""
="";="(0.00338)";="(0.00569)";="(0.00405)";="(0.00547)";="";="";="";="";="";="";="";=""
="log Pollutant";="";="";="";="";="-0.000704";="-0.00721";="-0.0105**";="-0.0125**";="";="";="";=""
="";="";="";="";="";="(0.00326)";="(0.00604)";="(0.00419)";="(0.00572)";="";="";="";=""
="log Pollutant";="";="";="";="";="";="";="";="";="0.00108";="-0.00457";="-0.0115***";="-0.0130**"
="";="";="";="";="";="";="";="";="";="(0.00347)";="(0.00568)";="(0.00440)";="(0.00576)"
="log Pollutant X ENVI";="";="0.358**";="";="";="";="";="";="";="";="";="";=""
="";="";="(0.179)";="";="";="";="";="";="";="";="";="";=""
="log Pollutant X ENVI";="";="";="0.0157**";="";="";="";="";="";="";="";="";=""
="";="";="";="(0.00605)";="";="";="";="";="";="";="";="";=""
="log Pollutant X ENVI";="";="";="";="0.0207**";="";="";="";="";="";="";="";=""
="";="";="";="";="(0.00961)";="";="";="";="";="";="";="";=""
="log Pollutant X ENVI";="";="";="";="";="";="0.288";="";="";="";="";="";=""
="";="";="";="";="";="";="(0.176)";="";="";="";="";="";=""
="log Pollutant X ENVI";="";="";="";="";="";="";="0.0152***";="";="";="";="";=""
="";="";="";="";="";="";="";="(0.00527)";="";="";="";="";=""
="log Pollutant X ENVI";="";="";="";="";="";="";="";="0.0195**";="";="";="";=""
="";="";="";="";="";="";="";="";="(0.00900)";="";="";="";=""
="log Pollutant X ENVI";="";="";="";="";="";="";="";="";="";="0.198";="";=""
="";="";="";="";="";="";="";="";="";="";="(0.178)";="";=""
="log Pollutant X ENVI";="";="";="";="";="";="";="";="";="";="";="0.0173***";=""
="";="";="";="";="";="";="";="";="";="";="";="(0.00536)";=""
="log Pollutant X ENVI";="";="";="";="";="";="";="";="";="";="";="";="0.0208**"
="";="";="";="";="";="";="";="";="";="";="";="";="(0.00871)"
="log R&D Intensity";="0.0222***";="0.0103**";="0.0118***";="0.0118***";="0.0221***";="0.00954**";="0.0112***";="0.0112***";="0.0212***";="0.00854**";="0.0103***";="0.0103***"
="";="(0.00451)";="(0.00410)";="(0.00337)";="(0.00337)";="(0.00424)";="(0.00403)";="(0.00326)";="(0.00327)";="(0.00409)";="(0.00396)";="(0.00317)";="(0.00317)"
