="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)"
="Pollutant, ENVI:";="PT,EPSI";="PT,HLT";="PT,EPI";="SO2,EPSI";="SO2,HLT";="SO2,EPI";="NO2,EPSI";="NO2,HLT";="NO2,EPI"
="main";="";="";="";="";="";="";="";="";=""
="1._at";="-0.0110**";="-0.0130***";="-0.0118***";="-0.00582";="-0.00828**";="-0.00696*";="-0.00363";="-0.00896**";="-0.00708*"
="";="(0.00516)";="(0.00357)";="(0.00364)";="(0.00543)";="(0.00371)";="(0.00383)";="(0.00512)";="(0.00395)";="(0.00405)"
="2._at";="-0.0105**";="-0.0122***";="-0.0112***";="-0.00546";="-0.00745**";="-0.00643*";="-0.00338";="-0.00802**";="-0.00652*"
="";="(0.00504)";="(0.00343)";="(0.00353)";="(0.00528)";="(0.00356)";="(0.00370)";="(0.00498)";="(0.00381)";="(0.00393)"
="3._at";="-0.00747*";="-0.0105***";="-0.0100***";="-0.00300";="-0.00586*";="-0.00530";="-0.00169";="-0.00621*";="-0.00532"
="";="(0.00443)";="(0.00325)";="(0.00334)";="(0.00444)";="(0.00333)";="(0.00344)";="(0.00428)";="(0.00360)";="(0.00371)"
="4._at";="-0.00552";="-0.00901***";="-0.00903***";="-0.00144";="-0.00439";="-0.00435";="-0.000619";="-0.00454";="-0.00431"
="";="(0.00429)";="(0.00319)";="(0.00325)";="(0.00410)";="(0.00318)";="(0.00328)";="(0.00407)";="(0.00347)";="(0.00357)"
="5._at";="-0.00443";="-0.00826***";="-0.00821**";="-0.000562";="-0.00367";="-0.00358";="-0.0000174";="-0.00372";="-0.00349"
="";="(0.00430)";="(0.00320)";="(0.00323)";="(0.00400)";="(0.00314)";="(0.00319)";="(0.00405)";="(0.00343)";="(0.00349)"
="6._at";="-0.00357";="-0.00739**";="-0.00747**";="0.000134";="-0.00283";="-0.00287";="0.000460";="-0.00276";="-0.00274"
="";="(0.00436)";="(0.00324)";="(0.00324)";="(0.00397)";="(0.00311)";="(0.00313)";="(0.00409)";="(0.00342)";="(0.00344)"
="7._at";="-0.00289";="-0.00623*";="-0.00529";="0.000675";="-0.00167";="-0.000822";="0.000831";="-0.00147";="-0.000561"
="";="(0.00444)";="(0.00335)";="(0.00349)";="(0.00398)";="(0.00312)";="(0.00317)";="(0.00414)";="(0.00343)";="(0.00347)"
="8._at";="-0.00213";="-0.00295";="-0.00375";="0.00129";="0.00148";="0.000640";="0.00125";="0.00214";="0.000988"
="";="(0.00455)";="(0.00393)";="(0.00382)";="(0.00402)";="(0.00339)";="(0.00336)";="(0.00424)";="(0.00372)";="(0.00364)"
="9._at";="-0.00125";="-0.00204";="-0.00283";="0.00200";="0.00236";="0.00151";="0.00174";="0.00315";="0.00191"
="";="(0.00472)";="(0.00414)";="(0.00407)";="(0.00411)";="(0.00353)";="(0.00353)";="(0.00439)";="(0.00385)";="(0.00379)"
="10._at";="-0.000669";="-0.00137";="-0.00216";="0.00247";="0.00301";="0.00215";="0.00206";="0.00388";="0.00259"
="";="(0.00484)";="(0.00431)";="(0.00427)";="(0.00420)";="(0.00364)";="(0.00368)";="(0.00451)";="(0.00396)";="(0.00392)"
