="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)"
="ENVI:";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT"
="log ECSP";="";="";="";="";="";=""
="1._at";="-0.0372***";="-0.0338**";="-0.0135";="-0.0381**";="-0.0391***";="-0.0239*"
="";="(0.0133)";="(0.0133)";="(0.0128)";="(0.0165)";="(0.0148)";="(0.0122)"
="2._at";="-0.0361***";="-0.0329**";="-0.0123";="-0.0362**";="-0.0373***";="-0.0209*"
="";="(0.0130)";="(0.0131)";="(0.0125)";="(0.0158)";="(0.0143)";="(0.0117)"
="3._at";="-0.0286**";="-0.0270**";="-0.00427";="-0.0333**";="-0.0333**";="-0.0153"
="";="(0.0121)";="(0.0121)";="(0.0108)";="(0.0148)";="(0.0135)";="(0.0109)"
="4._at";="-0.0239**";="-0.0232*";="0.000837";="-0.0302**";="-0.0298**";="-0.0101"
="";="(0.0121)";="(0.0121)";="(0.0104)";="(0.0138)";="(0.0129)";="(0.0103)"
="5._at";="-0.0213*";="-0.0211*";="0.00370";="-0.0286**";="-0.0283**";="-0.00757"
="";="(0.0123)";="(0.0123)";="(0.0104)";="(0.0134)";="(0.0127)";="(0.0101)"
="6._at";="-0.0191";="-0.0195";="0.00598";="-0.0272**";="-0.0260**";="-0.00459"
="";="(0.0125)";="(0.0125)";="(0.0106)";="(0.0131)";="(0.0125)";="(0.0100)"
="7._at";="-0.0175";="-0.0182";="0.00775";="-0.0251**";="-0.0238*";="-0.000601"
="";="(0.0127)";="(0.0128)";="(0.0107)";="(0.0127)";="(0.0124)";="(0.00995)"
="8._at";="-0.0156";="-0.0167";="0.00987";="-0.0216*";="-0.0168";="0.0106"
="";="(0.0131)";="(0.0131)";="(0.0110)";="(0.0123)";="(0.0127)";="(0.0106)"
="9._at";="-0.0135";="-0.0150";="0.0121";="-0.0169";="-0.0145";="0.0137"
="";="(0.0135)";="(0.0136)";="(0.0114)";="(0.0122)";="(0.0130)";="(0.0110)"
="10._at";="-0.0121";="-0.0139";="0.0136";="-0.0152";="-0.0129";="0.0159"
="";="(0.0139)";="(0.0140)";="(0.0117)";="(0.0124)";="(0.0133)";="(0.0113)"
