="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)"
="Intensity Definition: Total Cost, Environmental Index:";="-";="-";="EPI";="EPI";="EPI";="EPI"
="log ECSP";="";="-0.0258**";="-0.0481**";="-0.0497**";="-0.0413**";=""
="";="";="(0.0127)";="(0.0229)";="(0.0219)";="(0.0182)";=""
="log ECSP X ENVI";="";="";="0.0425";="0.0471";="0.0737***";="0.0858***"
="";="";="";="(0.0287)";="(0.0294)";="(0.0264)";="(0.0238)"
="log R&D Intensity";="0.0238***";="0.0224***";="0.0225***";="0.0237***";="0.0141***";=""
="";="(0.00394)";="(0.00410)";="(0.00413)";="(0.00414)";="(0.00391)";=""
="log Skill Intensity";="0.000415";="0.00597";="0.00536";="-0.0262";="-0.0204";=""
="";="(0.0155)";="(0.0151)";="(0.0151)";="(0.0371)";="(0.0333)";=""
="log Other Machinery Intensity";="0.0349***";="0.0463***";="0.0466***";="-0.0273";="0.0319";=""
="";="(0.0109)";="(0.0109)";="(0.0109)";="(0.0532)";="(0.0533)";=""
="log Building Intensity";="-0.0116*";="-0.0103";="-0.0102";="-0.0239";="-0.0301";=""
="";="(0.00661)";="(0.00679)";="(0.00680)";="(0.0401)";="(0.0375)";=""
="log Auto Intensity";="-0.0196***";="-0.0187***";="-0.0185***";="-0.0118";="-0.0307";=""
="";="(0.00513)";="(0.00492)";="(0.00496)";="(0.0248)";="(0.0275)";=""
="log Computer Intensity";="-0.00189";="-0.00537";="-0.00541";="0.0360";="0.0116";=""
="";="(0.00873)";="(0.00875)";="(0.00882)";="(0.0428)";="(0.0432)";=""
="Contractibility";="-0.0533**";="-0.0384*";="-0.0396*";="-0.0136";="-0.0236";=""
="";="(0.0212)";="(0.0204)";="(0.0205)";="(0.0314)";="(0.0318)";=""
="log Skill Intensity X log Skill Abundance";="";="";="";="0.0142";="0.0125";="0.0151"
="";="";="";="";="(0.0133)";="(0.0128)";="(0.0116)"
="log Other Machinery Intensity X log Capital Abundance";="";="";="";="0.00645";="-0.000228";="-0.00144"
="";="";="";="";="(0.00436)";="(0.00446)";="(0.00448)"
="log Building Intensity X log Capital Abundance";="";="";="";="0.00112";="0.00220";="0.00255"
="";="";="";="";="(0.00338)";="(0.00316)";="(0.00292)"
="log Auto Intensity X log Capital Abundance";="";="";="";="-0.000618";="0.00176";="0.00137"
="";="";="";="";="(0.00217)";="(0.00237)";="(0.00223)"
="log Computer Intensity X log Capital Abundance";="";="";="";="-0.00317";="-0.00212";="-0.00116"
="";="";="";="";="(0.00341)";="(0.00353)";="(0.00314)"
="Contractibility X Rule of Law";="";="";="";="-0.0477";="-0.0560";="-0.0495"
="";="";="";="";="(0.0458)";="(0.0459)";="(0.0459)"
="Dispersion";="";="";="";="";="0.0733***";=""
="";="";="";="";="";="(0.0196)";=""
="1(sigma>median)=0 X DUse_TUse";="";="";="";="";="-0.136***";=""
="";="";="";="";="";="(0.0356)";=""
="1(sigma>median)=1 X DUse_TUse";="";="";="";="";="-0.101***";=""
="";="";="";="";="";="(0.0291)";=""
="1(sigma>median)=1";="";="";="";="";="-0.0295";=""
="";="";="";="";="";="(0.0274)";=""
="External Finance Dependence";="";="";="";="";="-0.00627";=""
="";="";="";="";="";="(0.0164)";=""
="Asset Tangibility";="";="";="";="";="-0.206**";=""
="";="";="";="";="";="(0.103)";=""
="External Finance Dependence X Private Credit / GDP";="";="";="";="";="0.000177**";="0.000210***"
="";="";="";="";="";="(0.0000806)";="(0.0000794)"
="Asset Tangibility X Private Credit / GDP";="";="";="";="";="0.000344";="0.000571"
="";="";="";="";="";="(0.000519)";="(0.000496)"
="Sales Volatility";="";="";="";="";="0.211";=""
="";="";="";="";="";="(0.246)";=""
="Sales Volatility X Labor Market Flexibility";="";="";="";="";="-0.172";="-0.118"
="";="";="";="";="";="(0.279)";="(0.252)"
="Intermediation";="";="";="";="";="0.0827";=""
="";="";="";="";="";="(0.0830)";=""
="Intermediation X Rule of Law";="";="";="";="";="-0.448***";="-0.417***"
="";="";="";="";="";="(0.125)";="(0.121)"
="Constant";="0.292***";="0.177**";="0.178**";="0.224***";="0.302***";="0.872***"
="";="(0.0575)";="(0.0872)";="(0.0882)";="(0.0855)";="(0.101)";="(0.301)"
="Country-Year FE";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes"
="Industry-Year FE";="No";="No";="No";="No";="No";="Yes"
="IO2007 Industry Clusters";="210";="208";="208";="208";="201";="210"
="Adj. R2";="0.161";="0.163";="0.164";="0.166";="0.197";="0.236"
="Observations";="128037";="127511";="125338";="108893";="96663";="103421"
