="";="(1)";="(2)";="(3)"
="ENVI:";="EPI";="EPI";="EPI"
="log ECSP";="";="";=""
="1._at";="-0.0362**";="-0.0363**";="-0.0203"
="";="(0.0166)";="(0.0156)";="(0.0126)"
="2._at";="-0.0349**";="-0.0349**";="-0.0184"
="";="(0.0160)";="(0.0151)";="(0.0121)"
="3._at";="-0.0325**";="-0.0322**";="-0.0140"
="";="(0.0150)";="(0.0142)";="(0.0113)"
="4._at";="-0.0306**";="-0.0301**";="-0.0105"
="";="(0.0143)";="(0.0135)";="(0.0108)"
="5._at";="-0.0292**";="-0.0283**";="-0.00763"
="";="(0.0138)";="(0.0131)";="(0.0104)"
="6._at";="-0.0275**";="-0.0265**";="-0.00496"
="";="(0.0132)";="(0.0127)";="(0.0101)"
="7._at";="-0.0242*";="-0.0219*";="0.00277"
="";="(0.0124)";="(0.0122)";="(0.00988)"
="8._at";="-0.0205*";="-0.0186";="0.00826"
="";="(0.0120)";="(0.0123)";="(0.0102)"
="9._at";="-0.0185";="-0.0165";="0.0112"
="";="(0.0120)";="(0.0125)";="(0.0105)"
="10._at";="-0.0164";="-0.0145";="0.0139"
="";="(0.0121)";="(0.0128)";="(0.0108)"
