="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)"
="Intensity Definition: Total Cost, Environmental Index:";="-";="-";="EPSI";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="HLT";="EPI";="EPI";="EPI";="EPI"
="log ECSP";="";="-0.0242*";="-0.0415***";="-0.0381**";="-0.0157";="";="-0.0408**";="-0.0443***";="-0.0287**";="";="-0.0468**";="-0.0504**";="-0.0389**";=""
="";="";="(0.0125)";="(0.0143)";="(0.0149)";="(0.0144)";="";="(0.0182)";="(0.0164)";="(0.0139)";="";="(0.0228)";="(0.0218)";="(0.0184)";=""
="log ECSP X ENVI";="";="";="0.871**";="0.726";="0.991**";="1.229***";="";="";="";="";="";="";="";=""
="";="";="";="(0.431)";="(0.452)";="(0.452)";="(0.448)";="";="";="";="";="";="";="";=""
="log ECSP X ENVI";="";="";="";="";="";="";="0.0308*";="0.0369**";="0.0548***";="0.0602***";="";="";="";=""
="";="";="";="";="";="";="";="(0.0180)";="(0.0175)";="(0.0167)";="(0.0152)";="";="";="";=""
="log ECSP X ENVI";="";="";="";="";="";="";="";="";="";="";="0.0430";="0.0502*";="0.0763***";="0.0875***"
="";="";="";="";="";="";="";="";="";="";="";="(0.0289)";="(0.0292)";="(0.0265)";="(0.0237)"
="log R&D Intensity";="0.0292***";="0.0276***";="0.0354***";="0.0354***";="0.0206***";="";="0.0277***";="0.0289***";="0.0161***";="";="0.0277***";="0.0289***";="0.0161***";=""
="";="(0.00390)";="(0.00411)";="(0.00518)";="(0.00518)";="(0.00471)";="";="(0.00413)";="(0.00415)";="(0.00411)";="";="(0.00413)";="(0.00416)";="(0.00411)";=""
="log Skill Intensity";="-0.0176";="-0.0147";="-0.0176";="-0.0332";="-0.0407";="";="-0.0154";="-0.0267";="-0.0332";="";="-0.0153";="-0.0270";="-0.0338";=""
="";="(0.0137)";="(0.0132)";="(0.0149)";="(0.0495)";="(0.0489)";="";="(0.0133)";="(0.0322)";="(0.0295)";="";="(0.0132)";="(0.0323)";="(0.0296)";=""
="log Capital Intensity";="0.0185**";="0.0293***";="0.0446***";="-0.000180";="0.000786";="";="0.0297***";="-0.0366";="-0.00420";="";="0.0297***";="-0.0393";="-0.00636";=""
="";="(0.00934)";="(0.0100)";="(0.0131)";="(0.0963)";="(0.0941)";="";="(0.0101)";="(0.0445)";="(0.0435)";="";="(0.0101)";="(0.0458)";="(0.0441)";=""
="Contractibility";="-0.0533**";="-0.0388*";="-0.0624**";="-0.0887*";="-0.0934*";="";="-0.0406*";="-0.0180";="-0.0245";="";="-0.0401*";="-0.0191";="-0.0253";=""
="";="(0.0218)";="(0.0210)";="(0.0264)";="(0.0477)";="(0.0487)";="";="(0.0212)";="(0.0308)";="(0.0318)";="";="(0.0211)";="(0.0308)";="(0.0318)";=""
="log Skill Intensity X log Skill Abundance";="";="";="";="0.00674";="0.0135";="0.0159";="";="0.00606";="0.00990";="0.0142";="";="0.00618";="0.0102";="0.0145"
