="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)"
="ENVI:";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="EPI";="EPI";="EPI"
="log ECSP";="";="";="";="";="";="";="";="";=""
="1._at";="-0.0373***";="-0.0346**";="-0.0109";="-0.0366**";="-0.0386***";="-0.0206*";="-0.0347**";="-0.0360**";="-0.0172"
="";="(0.0133)";="(0.0137)";="(0.0130)";="(0.0164)";="(0.0148)";="(0.0123)";="(0.0164)";="(0.0156)";="(0.0126)"
="2._at";="-0.0362***";="-0.0337**";="-0.00969";="-0.0347**";="-0.0368**";="-0.0175";="-0.0334**";="-0.0346**";="-0.0152"
="";="(0.0131)";="(0.0135)";="(0.0127)";="(0.0156)";="(0.0143)";="(0.0117)";="(0.0158)";="(0.0150)";="(0.0122)"
="3._at";="-0.0288**";="-0.0275**";="-0.00123";="-0.0317**";="-0.0327**";="-0.0118";="-0.0310**";="-0.0317**";="-0.0107"
="";="(0.0121)";="(0.0123)";="(0.0110)";="(0.0146)";="(0.0134)";="(0.0109)";="(0.0148)";="(0.0141)";="(0.0113)"
="4._at";="-0.0241**";="-0.0236*";="0.00414";="-0.0286**";="-0.0291**";="-0.00649";="-0.0291**";="-0.0295**";="-0.00706"
="";="(0.0121)";="(0.0121)";="(0.0105)";="(0.0136)";="(0.0128)";="(0.0103)";="(0.0141)";="(0.0135)";="(0.0108)"
="5._at";="-0.0214*";="-0.0214*";="0.00716";="-0.0271**";="-0.0275**";="-0.00391";="-0.0276**";="-0.0275**";="-0.00403"
="";="(0.0122)";="(0.0122)";="(0.0105)";="(0.0132)";="(0.0126)";="(0.0101)";="(0.0136)";="(0.0130)";="(0.0104)"
="6._at";="-0.0193";="-0.0196";="0.00955";="-0.0256**";="-0.0250**";="-0.000867";="-0.0260**";="-0.0256**";="-0.00129"
="";="(0.0124)";="(0.0124)";="(0.0106)";="(0.0129)";="(0.0124)";="(0.00997)";="(0.0130)";="(0.0126)";="(0.0101)"
="7._at";="-0.0177";="-0.0183";="0.0114";="-0.0236*";="-0.0227*";="0.00331";="-0.0226*";="-0.0208*";="0.00671"
="";="(0.0127)";="(0.0127)";="(0.0108)";="(0.0125)";="(0.0123)";="(0.00990)";="(0.0123)";="(0.0121)";="(0.00982)"
="8._at";="-0.0159";="-0.0167";="0.0135";="-0.0200*";="-0.0153";="0.0147";="-0.0189";="-0.0171";="0.0124"
="";="(0.0130)";="(0.0130)";="(0.0110)";="(0.0121)";="(0.0126)";="(0.0105)";="(0.0118)";="(0.0121)";="(0.0101)"
="9._at";="-0.0137";="-0.0149";="0.0160";="-0.0153";="-0.0131";="0.0178";="-0.0168";="-0.0150";="0.0158"
="";="(0.0134)";="(0.0134)";="(0.0114)";="(0.0121)";="(0.0129)";="(0.0109)";="(0.0118)";="(0.0123)";="(0.0104)"
="10._at";="-0.0123";="-0.0138";="0.0176";="-0.0136";="-0.0114";="0.0202*";="-0.0147";="-0.0128";="0.0183*"
="";="(0.0138)";="(0.0137)";="(0.0117)";="(0.0122)";="(0.0131)";="(0.0112)";="(0.0119)";="(0.0126)";="(0.0107)"
