="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)"
="Intensity Definition: Total Sales, Environmental Index:";="-";="-";="EPSI";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="HLT"
="log ECSP";="";="-0.0240*";="-0.0401***";="-0.0359**";="-0.0186";="";="-0.0379**";="-0.0407**";="-0.0298**";=""
="";="";="(0.0131)";="(0.0145)";="(0.0147)";="(0.0141)";="";="(0.0187)";="(0.0167)";="(0.0137)";=""
="log ECSP X ENVI";="";="";="0.872**";="0.698";="0.965**";="1.218***";="";="";="";=""
="";="";="";="(0.433)";="(0.442)";="(0.442)";="(0.441)";="";="";="";=""
="log ECSP X ENVI";="";="";="";="";="";="";="0.0260";="0.0318*";="0.0507***";="0.0566***"
="";="";="";="";="";="";="";="(0.0175)";="(0.0173)";="(0.0164)";="(0.0149)"
="log R&D Intensity";="0.0234***";="0.0221***";="0.0292***";="0.0293***";="0.0177***";="";="0.0221***";="0.0235***";="0.0142***";=""
="";="(0.00382)";="(0.00398)";="(0.00515)";="(0.00515)";="(0.00454)";="";="(0.00401)";="(0.00403)";="(0.00392)";=""
="log Skill Intensity";="0.00434";="0.00986";="0.00247";="0.00295";="-0.00124";="";="0.00926";="-0.0267";="-0.0238";=""
="";="(0.0148)";="(0.0144)";="(0.0171)";="(0.0545)";="(0.0556)";="";="(0.0144)";="(0.0370)";="(0.0337)";=""
="log Other Machinery Intensity";="0.0387***";="0.0491***";="0.0650***";="0.134";="0.133";="";="0.0496***";="-0.0229";="0.0291";=""
="";="(0.0106)";="(0.0104)";="(0.0147)";="(0.100)";="(0.102)";="";="(0.0105)";="(0.0540)";="(0.0548)";=""
="log Building Intensity";="-0.0108";="-0.00997";="-0.0139*";="-0.102";="-0.0944";="";="-0.00987";="-0.0266";="-0.0347";=""
="";="(0.00666)";="(0.00678)";="(0.00802)";="(0.0734)";="(0.0696)";="";="(0.00681)";="(0.0404)";="(0.0378)";=""
="log Auto Intensity";="-0.0194***";="-0.0185***";="-0.0251***";="-0.103*";="-0.103**";="";="-0.0183***";="-0.00731";="-0.0272";=""
="";="(0.00512)";="(0.00493)";="(0.00721)";="(0.0549)";="(0.0508)";="";="(0.00498)";="(0.0247)";="(0.0269)";=""
="log Computer Intensity";="-0.00186";="-0.00564";="0.00759";="-0.000319";="-0.00865";="";="-0.00563";="0.0367";="0.0110";=""
="";="(0.00851)";="(0.00872)";="(0.0112)";="(0.0743)";="(0.0744)";="";="(0.00879)";="(0.0424)";="(0.0434)";=""
="Contractibility";="-0.0494**";="-0.0364*";="-0.0589**";="-0.0952**";="-0.103**";="";="-0.0381*";="-0.0140";="-0.0270";=""
="";="(0.0214)";="(0.0206)";="(0.0246)";="(0.0453)";="(0.0464)";="";="(0.0207)";="(0.0315)";="(0.0316)";=""
="log Skill Intensity X log Skill Abundance";="";="";="";="-0.000191";="0.00354";="0.00747";="";="0.0159";="0.0138";="0.0165"
