="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)"
="ENVI:";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT"
="main";="";="";="";="";="";="";="";="";="";="";="";=""
="1._at";="-0.0359***";="-0.0326**";="-0.0140";="-0.0344**";="-0.0359**";="-0.0224*";="-0.0227*";="-0.0181";="-0.000505";="-0.0226";="-0.0245*";="-0.0120"
="";="(0.0135)";="(0.0136)";="(0.0127)";="(0.0169)";="(0.0152)";="(0.0122)";="(0.0132)";="(0.0130)";="(0.0118)";="(0.0147)";="(0.0139)";="(0.0116)"
="2._at";="-0.0348***";="-0.0317**";="-0.0128";="-0.0328**";="-0.0343**";="-0.0195*";="-0.0225*";="-0.0182";="-0.000412";="-0.0223";="-0.0240*";="-0.0106"
="";="(0.0133)";="(0.0134)";="(0.0124)";="(0.0162)";="(0.0147)";="(0.0117)";="(0.0129)";="(0.0127)";="(0.0115)";="(0.0141)";="(0.0135)";="(0.0111)"
="3._at";="-0.0273**";="-0.0258**";="-0.00456";="-0.0303**";="-0.0308**";="-0.0142";="-0.0210*";="-0.0188";="0.000223";="-0.0219*";="-0.0228*";="-0.00800"
="";="(0.0123)";="(0.0123)";="(0.0108)";="(0.0152)";="(0.0139)";="(0.0110)";="(0.0117)";="(0.0115)";="(0.0100)";="(0.0133)";="(0.0126)";="(0.0103)"
="4._at";="-0.0226*";="-0.0220*";="0.000667";="-0.0277*";="-0.0276**";="-0.00931";="-0.0201*";="-0.0192*";="0.000626";="-0.0214*";="-0.0218*";="-0.00560"
="";="(0.0122)";="(0.0122)";="(0.0104)";="(0.0143)";="(0.0133)";="(0.0104)";="(0.0114)";="(0.0113)";="(0.00968)";="(0.0126)";="(0.0120)";="(0.00964)"
="5._at";="-0.0200";="-0.0199";="0.00360";="-0.0263*";="-0.0263**";="-0.00691";="-0.0196*";="-0.0194*";="0.000852";="-0.0211*";="-0.0213*";="-0.00443"
="";="(0.0123)";="(0.0123)";="(0.0103)";="(0.0139)";="(0.0131)";="(0.0103)";="(0.0115)";="(0.0114)";="(0.00975)";="(0.0123)";="(0.0118)";="(0.00942)"
="6._at";="-0.0179";="-0.0182";="0.00593";="-0.0251*";="-0.0242*";="-0.00410";="-0.0192*";="-0.0196*";="0.00103";="-0.0209*";="-0.0206*";="-0.00305"
="";="(0.0125)";="(0.0125)";="(0.0105)";="(0.0135)";="(0.0129)";="(0.0101)";="(0.0116)";="(0.0116)";="(0.00992)";="(0.0120)";="(0.0115)";="(0.00922)"
="7._at";="-0.0162";="-0.0169";="0.00774";="-0.0234*";="-0.0222*";="-0.000330";="-0.0188";="-0.0198*";="0.00117";="-0.0206*";="-0.0199*";="-0.00120"
="";="(0.0128)";="(0.0128)";="(0.0106)";="(0.0131)";="(0.0128)";="(0.0101)";="(0.0117)";="(0.0118)";="(0.0101)";="(0.0118)";="(0.0114)";="(0.00909)"
="8._at";="-0.0143";="-0.0153";="0.00991";="-0.0204";="-0.0159";="0.0103";="-0.0184";="-0.0199";="0.00134";="-0.0201*";="-0.0178";="0.00400"
="";="(0.0131)";="(0.0131)";="(0.0109)";="(0.0127)";="(0.0130)";="(0.0107)";="(0.0120)";="(0.0121)";="(0.0104)";="(0.0115)";="(0.0114)";="(0.00950)"
="9._at";="-0.0122";="-0.0137";="0.0122";="-0.0164";="-0.0138";="0.0132";="-0.0180";="-0.0201";="0.00151";="-0.0194*";="-0.0171";="0.00544"
="";="(0.0135)";="(0.0135)";="(0.0113)";="(0.0125)";="(0.0133)";="(0.0111)";="(0.0123)";="(0.0125)";="(0.0109)";="(0.0116)";="(0.0115)";="(0.00981)"
="10._at";="-0.0108";="-0.0125";="0.0137";="-0.0149";="-0.0124";="0.0153";="-0.0178";="-0.0202";="0.00163";="-0.0191";="-0.0167";="0.00650"
="";="(0.0138)";="(0.0138)";="(0.0116)";="(0.0126)";="(0.0136)";="(0.0114)";="(0.0126)";="(0.0129)";="(0.0112)";="(0.0118)";="(0.0117)";="(0.0101)"
