="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)"
="Intensity Definition: Total Cost, Pollutant, Environmental Index:";="PT,-";="PT,EPSI";="PT,HLT";="PT,EPI";="SO2,-";="SO2,EPSI";="SO2,HLT";="SO2,EPI";="NO2,-";="NO2,EPSI";="NO2,HLT";="NO2,EPI"
="log Pollutant";="-0.00429";="-0.0130**";="-0.0168***";="-0.0198***";="";="";="";="";="";="";="";=""
="";="(0.00362)";="(0.00574)";="(0.00413)";="(0.00555)";="";="";="";="";="";="";="";=""
="log Pollutant";="";="";="";="";="0.00273";="-0.00514";="-0.00948**";="-0.0117*";="";="";="";=""
="";="";="";="";="";="(0.00355)";="(0.00593)";="(0.00435)";="(0.00601)";="";="";="";=""
="log Pollutant";="";="";="";="";="";="";="";="";="0.000937";="-0.00689";="-0.0137***";="-0.0159***"
="";="";="";="";="";="";="";="";="";="(0.00362)";="(0.00567)";="(0.00447)";="(0.00590)"
="log Pollutant X ENVI";="";="0.407**";="";="";="";="";="";="";="";="";="";=""
="";="";="(0.192)";="";="";="";="";="";="";="";="";="";=""
="log Pollutant X ENVI";="";="";="0.0184***";="";="";="";="";="";="";="";="";=""
="";="";="";="(0.00620)";="";="";="";="";="";="";="";="";=""
="log Pollutant X ENVI";="";="";="";="0.0250**";="";="";="";="";="";="";="";=""
="";="";="";="";="(0.00987)";="";="";="";="";="";="";="";=""
="log Pollutant X ENVI";="";="";="";="";="";="0.272";="";="";="";="";="";=""
="";="";="";="";="";="";="(0.184)";="";="";="";="";="";=""
="log Pollutant X ENVI";="";="";="";="";="";="";="0.0159***";="";="";="";="";=""
="";="";="";="";="";="";="";="(0.00555)";="";="";="";="";=""
="log Pollutant X ENVI";="";="";="";="";="";="";="";="0.0207**";="";="";="";=""
="";="";="";="";="";="";="";="";="(0.00947)";="";="";="";=""
="log Pollutant X ENVI";="";="";="";="";="";="";="";="";="";="0.215";="";=""
="";="";="";="";="";="";="";="";="";="";="(0.186)";="";=""
="log Pollutant X ENVI";="";="";="";="";="";="";="";="";="";="";="0.0183***";=""
="";="";="";="";="";="";="";="";="";="";="";="(0.00574)";=""
="log Pollutant X ENVI";="";="";="";="";="";="";="";="";="";="";="";="0.0231**"
="";="";="";="";="";="";="";="";="";="";="";="";="(0.00928)"
="log R&D Intensity";="0.0252***";="0.0211***";="0.0179***";="0.0179***";="0.0266***";="0.0199***";="0.0175***";="0.0175***";="0.0255***";="0.0188***";="0.0169***";="0.0169***"
="";="(0.00416)";="(0.00497)";="(0.00397)";="(0.00397)";="(0.00421)";="(0.00486)";="(0.00397)";="(0.00397)";="(0.00409)";="(0.00474)";="(0.00385)";="(0.00385)"
="log Skill Intensity";="-0.00623";="-0.0839";="-0.0687**";="-0.0690**";="-0.00228";="-0.0365";="-0.0480";="-0.0482";="-0.00532";="-0.0510";="-0.0472";="-0.0470"
="";="(0.0163)";="(0.0594)";="(0.0323)";="(0.0320)";="(0.0164)";="(0.0602)";="(0.0332)";="(0.0330)";="(0.0162)";="(0.0599)";="(0.0330)";="(0.0328)"
="log Other Machinery Intensity";="0.0447***";="0.0985";="-0.0306";="-0.0325";="0.0320***";="0.151";="-0.00499";="-0.00814";="0.0380***";="0.158";="0.00847";="0.00423"
="";="(0.0121)";="(0.121)";="(0.0604)";="(0.0607)";="(0.0115)";="(0.112)";="(0.0556)";="(0.0563)";="(0.0116)";="(0.111)";="(0.0545)";="(0.0550)"
="log Building Intensity";="-0.0116";="-0.0851";="-0.0328";="-0.0327";="-0.0119*";="-0.113";="-0.0305";="-0.0305";="-0.0132**";="-0.126*";="-0.0327";="-0.0324"
="";="(0.00707)";="(0.0756)";="(0.0408)";="(0.0407)";="(0.00667)";="(0.0713)";="(0.0377)";="(0.0378)";="(0.00667)";="(0.0717)";="(0.0376)";="(0.0376)"
="log Auto Intensity";="-0.0201***";="-0.0431";="0.0121";="0.0103";="-0.0181***";="-0.0801";="-0.0256";="-0.0263";="-0.0177***";="-0.0678";="-0.0178";="-0.0191"
="";="(0.00536)";="(0.0576)";="(0.0285)";="(0.0282)";="(0.00560)";="(0.0567)";="(0.0281)";="(0.0281)";="(0.00561)";="(0.0567)";="(0.0281)";="(0.0281)"
="log Computer Intensity";="-0.00399";="-0.0810";="-0.0241";="-0.0210";="-0.00263";="-0.0492";="-0.00495";="-0.00172";="-0.00224";="-0.0373";="-0.0133";="-0.00958"
="";="(0.00947)";="(0.0794)";="(0.0445)";="(0.0448)";="(0.00965)";="(0.0743)";="(0.0443)";="(0.0446)";="(0.00949)";="(0.0750)";="(0.0434)";="(0.0439)"
="Contractibility";="-0.0550**";="-0.118**";="-0.0338";="-0.0347";="-0.0544**";="-0.111**";="-0.0249";="-0.0265";="-0.0539**";="-0.117**";="-0.0236";="-0.0258"
="";="(0.0221)";="(0.0507)";="(0.0331)";="(0.0332)";="(0.0220)";="(0.0510)";="(0.0331)";="(0.0332)";="(0.0224)";="(0.0507)";="(0.0322)";="(0.0324)"
="group(year iso3code)=0";="0";="0";="0";="0";="0";="0";="0";="0";="0";="0";="0";="0"
="";="(.)";="(.)";="(.)";="(.)";="(.)";="(.)";="(.)";="(.)";="(.)";="(.)";="(.)";="(.)"
="Dispersion";="";="0.0697***";="0.0773***";="0.0774***";="";="0.0582**";="0.0723***";="0.0724***";="";="0.0551**";="0.0690***";="0.0691***"
="";="";="(0.0250)";="(0.0194)";="(0.0194)";="";="(0.0258)";="(0.0204)";="(0.0204)";="";="(0.0264)";="(0.0208)";="(0.0208)"
="1(sigma>median)=0 X DUse_TUse";="";="-0.151***";="-0.145***";="-0.145***";="";="-0.135***";="-0.140***";="-0.140***";="";="-0.141***";="-0.143***";="-0.143***"
="";="";="(0.0523)";="(0.0394)";="(0.0393)";="";="(0.0487)";="(0.0388)";="(0.0388)";="";="(0.0507)";="(0.0401)";="(0.0401)"
="1(sigma>median)=1 X DUse_TUse";="";="-0.132***";="-0.109***";="-0.110***";="";="-0.114***";="-0.0928***";="-0.0929***";="";="-0.127***";="-0.103***";="-0.103***"
="";="";="(0.0432)";="(0.0326)";="(0.0326)";="";="(0.0425)";="(0.0325)";="(0.0325)";="";="(0.0418)";="(0.0315)";="(0.0315)"
="1(sigma>median)=1";="";="-0.00926";="-0.0279";="-0.0279";="";="-0.00863";="-0.0323";="-0.0323";="";="-0.00286";="-0.0266";="-0.0266"
="";="";="(0.0391)";="(0.0295)";="(0.0294)";="";="(0.0373)";="(0.0295)";="(0.0294)";="";="(0.0374)";="(0.0295)";="(0.0295)"
="log Skill Intensity X log Skill Abundance";="";="0.0352";="0.0284**";="0.0285**";="";="0.0197";="0.0229*";="0.0230*";="";="0.0243";="0.0213";="0.0213"
="";="";="(0.0240)";="(0.0130)";="(0.0130)";="";="(0.0243)";="(0.0133)";="(0.0132)";="";="(0.0242)";="(0.0132)";="(0.0132)"
="log Other Machinery Intensity X log Capital Abundance";="";="-0.00374";="0.00603";="0.00619";="";="-0.00865";="0.00317";="0.00344";="";="-0.00891";="0.00242";="0.00278"
="";="";="(0.00985)";="(0.00509)";="(0.00511)";="";="(0.00914)";="(0.00463)";="(0.00468)";="";="(0.00903)";="(0.00456)";="(0.00459)"
="log Building Intensity X log Capital Abundance";="";="0.00639";="0.00225";="0.00224";="";="0.00869";="0.00207";="0.00207";="";="0.00965";="0.00220";="0.00217"
="";="";="(0.00620)";="(0.00347)";="(0.00346)";="";="(0.00585)";="(0.00322)";="(0.00323)";="";="(0.00589)";="(0.00321)";="(0.00321)"
="log Auto Intensity X log Capital Abundance";="";="0.00227";="-0.00164";="-0.00149";="";="0.00504";="0.00146";="0.00151";="";="0.00407";="0.000821";="0.000933"
="";="";="(0.00479)";="(0.00248)";="(0.00247)";="";="(0.00467)";="(0.00246)";="(0.00246)";="";="(0.00469)";="(0.00246)";="(0.00246)"
="log Computer Intensity X log Capital Abundance";="";="0.00647";="0.00107";="0.000806";="";="0.00343";="-0.000722";="-0.000995";="";="0.00272";="0.0000267";="-0.000287"
="";="";="(0.00647)";="(0.00359)";="(0.00361)";="";="(0.00615)";="(0.00364)";="(0.00366)";="";="(0.00624)";="(0.00361)";="(0.00364)"
="External Finance Dependence";="";="-0.0211";="-0.00516";="-0.00529";="";="-0.0242";="-0.00764";="-0.00786";="";="-0.0209";="-0.00185";="-0.00228"
